Id,BldgType,YearBuilt,GrLivArea,BedroomAbvGr,FullBath,SalePrice
1,Single Family,1941,2763,0,0,1399000
2,Single Family,2010,32349,12,15,6980000
3,Townhouse,1980,2050,4,2.5,359000
4,Single Family,1951,1125,3,2,295000
5,Single Family,1900,2722,4,2.5,300000
6,Single Family,1923,1322,4,1,275000
7,Townhouse,1962,1350,3,1.5,224900
8,Single Family,1986,2571,4,3.5,395000
9,Single Family,1903,2312,4,2.5,325000
10,Single Family,1951,672,2,1,199900
11,Condo,1993,1061,2,2,240000
12,Single Family,1965,2210,3,2.5,359900
13,Single Family,1947,1168,3,1.5,390000
14,Condo,2008,1447,2,2,410000
15,Townhouse,1920,,4,1.5,155000
16,Townhouse,1932,1566,6,2,79000
17,Townhouse,1936,,4,2,210000
18,Townhouse,1936,2195,4,3,300000
19,Single Family,1920,2310,5,2.5,380000
20,Multi-Family,1920,3064,7,3,385900
21,Townhouse,1919,1512,3,2.5,235000
22,Single Family,1900,900,4,4,198900
23,Townhouse,1900,1400,4,2,199900
24,Townhouse,1920,,4,2,70000
25,Townhouse,1900,948,2,2,249000
26,Condo,1982,1443,4,2.5,230000
27,Condo,2005,1345,2,2,259900
28,Townhouse,1890,2622,3,2.5,516800
29,Townhouse,1920,,3,3,245000
30,Townhouse,1900,2264,3,2.5,215000
31,Townhouse,1904,1569,3,2,339000
32,Townhouse,1880,1260,2,1.5,318000
33,Townhouse,1900,1480,2,2.5,340000
34,Townhouse,1915,1962,3,3.5,312900
35,Townhouse,1880,1323,3,1.5,279900
36,Townhouse,1920,1368,3,3,375000
37,Townhouse,1954,1260,3,1,239900
38,Single Family,2004,3767,3,1.5,359900
39,Townhouse,1958,1408,4,1.5,220000
40,Townhouse,1920,1300,2,2.5,125000
41,Single Family,1925,2860,5,4.5,435000
42,Single Family,1920,1984,6,3.5,550000
43,Townhouse,1927,1707,3,2,200000
44,Townhouse,1910,960,2,1,145999
