Id,BldgType,YearBuilt,GrLivArea,BedroomAbvGr,FullBath,SalePrice
1,Single Family,1979,1500,3,1.5,252500
2,Single Family,1900,1924,4,2,305000
3,Single Family,2024,1460,3,2,275900
4,Single Family,2004,1400,3,1.5,220000
5,Single Family,1901,2110,3,2,389900
6,Single Family,1940,720,1,1,55000
7,Single Family,2024,1822,4,2.5,289900
8,Single Family,2024,1830,4,2.5,289900
9,Single Family,2023,2060,3,2,289900
10,Single Family,2024,1822,4,2.5,284900
11,Townhouse,2023,1198,3,1,254900
12,Single Family,1963,1745,3,1,254900
13,Manufactured,0,960,2,2,160000
14,Single Family,1930,1250,3,1.5,132500
15,Single Family,1900,2190,4,1.5,89900
16,Single Family,1900,1200,3,2,120000
17,Single Family,1900,2214,4,2,109900
18,Single Family,2001,2377,3,2.5,664900
19,Condo,1986,1200,2,2,699950
20,Single Family,2002,2066,4,2.5,1580000
21,Single Family,1900,10000,5,1.5,575000
22,Single Family,1954,1340,4,2,1688000
23,Single Family,2024,2456,4,3.5,1649999
24,Townhouse,1987,1102,2,2.5,979888
25,Townhouse,1971,1242,3,2,780000
26,Single Family,1950,816,3,1,139000
27,Condo,1986,936,2,1,489000
28,Townhouse,1972,1008,2,1.5,699888
