Id,BldgType,YearBuilt,GrLivArea,BedroomAbvGr,FullBath,SalePrice
1,Single Family,1984,681,2,1,298000
2,Condo,2001,442,0,1,289950
3,Condo,1978,1115,2,1,393767
4,Condo,1922,380,1,1,299950
5,Condo,1990,444,1,1,308000
6,Condo,2000,635,1,1,325000
7,Condo,1911,692,1,1,380000
8,Condo,2016,529,1,1,450000
9,Condo,1906,750,1,1.5,445359
10,Condo,1967,620,1,1,396600
11,Condo,1968,919,2,1.5,424999
12,Condo,2009,806,1,1,449950
13,Condo,2020,1650,4,1,679000
14,Condo,2008,867,1,1.5,549000
15,Condo,2020,456,1,1,535000
16,Single Family,2020,1030,2,1,599000
17,Condo,2018,664,1,1,547000
18,Condo,2018,620,1,1,559000
19,Condo,1985,708,1,1,610000
20,Single Family,1919,2496,5,2,650000
21,Condo,1941,1230,3,1,699950
22,Single Family,1913,1230,3,1,849000
23,Multi-Family,1952,1340,0,2,649959
24,Condo,2018,808,1,1,720000
25,Multi-Family,1962,3016,7,4,1075000
26,Single Family,2006,1443,3,1.5,769000
27,Single Family,1912,1050,2,2,819950
28,Condo,1908,1011,2,1.5,699000
29,Condo,2010,952,1,1.5,849000
30,Condo,2008,1269,2,1,890000
31,Single Family,2020,1590,3,1.5,899500
32,Condo,1914,1685,2,1.5,1098000
33,Condo,1909,1960,2,2,780000
34,Condo,1997,1365,2,1,1300000
35,Condo,2020,1077,2,1,899950
36,Single Family,1900,2460,4,3,750000
37,Single Family,1978,3690,5,2.5,1795000
38,Single Family,1996,2380,3,1.5,1710000
39,Single Family,1989,3280,4,2.5,1995000
40,Condo,2020,1750,2,2.5,1674900
41,Single Family,1900,4190,4,1.5,2645000
42,Single Family,1930,8352,3,2,1250000
43,Multi-Family,1910,3350,6,3,1300000
44,Condo,2010,2237,2,2,3000000
45,Single Family,1924,6584,4,1.5,5850000
46,Condo,2010,4220,4,2,5975000
47,Single Family,1902,9970,5,3.5,7300000
